fecha,Embalse,C2RCC,C2X,C2XC,Medicion
2017-06-01,Acebo,4.012206077575684,29.46921157836914,90.35588073730469,3.0
2017-06-01,Aguijon,,,,
2017-06-01,Alcuescar,,,,
2017-06-01,Aldea del Cano,,,,
2017-06-01,Aliseda,,,,
2017-06-01,Alpotrel,,,,
2017-06-01,Arrocerezal,,,,
2017-06-01,Brozas,,,,
2017-06-01,Burguillos del Cerro,,,,
2017-06-01,Cantalgallo,,,,
2017-06-01,Carrascalejo,,,,
2017-06-01,El Santo,,,,
2017-06-01,Garciaz,,,,
2017-06-01,Garganta del Obispo,,,,
2017-06-01,Guadalupe,,,,
2017-06-01,Hervas,,,,
2017-06-01,Jaime Ozores,23.255043029785156,126.44527435302734,292.7429504394531,18.0
2017-06-01,Llerena,,,,
2017-06-01,Los Angeles,,,,
2017-06-01,Los Huertos,,,,
2017-06-01,Madronnera,,,,
2017-06-01,Majadillas,,,,
2017-06-01,Majarrobledo,,,,
2017-06-01,Membrio,,,,
2017-06-01,Navarredonda,,,,
2017-06-01,Navas del Madronno,,,,
2017-06-01,Nogales,,,,
2017-06-01,Palomero,,,,
2017-06-01,Pretura del Molino,,,,
2017-06-01,Ribera del Castanno,,,,
2017-06-01,Rubiales,,,,
2017-06-01,San Marcos,,,,
2017-06-01,Santa Lucia,,,,
2017-06-01,Talavan,14.817668914794922,19.165842056274414,32.95625686645508,10.8
2017-06-01,Tres Torres,,,,
2017-06-01,la Pesga,,,,
2017-11-01,Acebo,,,,
2017-11-01,Aguijon,,,,
2017-11-01,Alcuescar,,,,
2017-11-01,Aldea del Cano,,,,
2017-11-01,Aliseda,,,,
2017-11-01,Alpotrel,,,,
2017-11-01,Arrocerezal,,,,
2017-11-01,Brozas,,,,
2017-11-01,Burguillos del Cerro,,,,
2017-11-01,Cantalgallo,,,,
2017-11-01,Carrascalejo,,,,
2017-11-01,El Santo,,,,
2017-11-01,Garciaz,,,,
2017-11-01,Garganta del Obispo,,,,
2017-11-01,Guadalupe,,,,
2017-11-01,Hervas,,,,
2017-11-01,Jaime Ozores,77.5376205444336,887.808837890625,2342.577880859375,74.0
2017-11-01,Llerena,,,,
2017-11-01,Los Angeles,,,,
2017-11-01,Los Huertos,,,,
2017-11-01,Madronnera,,,,
2017-11-01,Majadillas,,,,
2017-11-01,Majarrobledo,,,,
2017-11-01,Membrio,,,,
2017-11-01,Navarredonda,,,,
2017-11-01,Navas del Madronno,,,,
2017-11-01,Nogales,,,,
2017-11-01,Palomero,,,,
2017-11-01,Pretura del Molino,,,,
2017-11-01,Ribera del Castanno,,,,
2017-11-01,Rubiales,,,,
2017-11-01,San Marcos,,,,
2017-11-01,Santa Lucia,,,,
2017-11-01,Talavan,11.583481788635254,100.21651458740234,176.58436584472656,9.0
2017-11-01,Tres Torres,,,,
2017-11-01,la Pesga,,,,
2018-06-01,Acebo,,,,
2018-06-01,Aguijon,,,,
2018-06-01,Alcuescar,,,,
2018-06-01,Aldea del Cano,,,,
2018-06-01,Aliseda,,,,
2018-06-01,Alpotrel,,,,
2018-06-01,Arrocerezal,,,,
2018-06-01,Brozas,,,,
2018-06-01,Burguillos del Cerro,,,,
2018-06-01,Cantalgallo,,,,
2018-06-01,Carrascalejo,,,,
2018-06-01,El Santo,,,,
2018-06-01,Garciaz,,,,
2018-06-01,Garganta del Obispo,,,,
2018-06-01,Guadalupe,,,,
2018-06-01,Hervas,,,,
2018-06-01,Jaime Ozores,14.62491226196289,225.57933044433594,204.2041473388672,14.0
2018-06-01,Llerena,,,,
2018-06-01,Los Angeles,,,,
2018-06-01,Los Huertos,,,,
2018-06-01,Madronnera,,,,
2018-06-01,Majadillas,,,,
2018-06-01,Majarrobledo,,,,
2018-06-01,Membrio,,,,
2018-06-01,Navarredonda,,,,
2018-06-01,Navas del Madronno,,,,
2018-06-01,Nogales,,,,
2018-06-01,Palomero,,,,
2018-06-01,Pretura del Molino,,,,
2018-06-01,Ribera del Castanno,,,,
2018-06-01,Rubiales,,,,
2018-06-01,San Marcos,,,,
2018-06-01,Santa Lucia,,,,
2018-06-01,Talavan,9.355180740356445,44.39604568481445,125.24826049804688,8.0
2018-06-01,Tres Torres,,,,
2018-06-01,la Pesga,,,,
2018-11-01,Acebo,,,,
2018-11-01,Aguijon,,,,
2018-11-01,Alcuescar,,,,
2018-11-01,Aldea del Cano,,,,
2018-11-01,Aliseda,,,,
2018-11-01,Alpotrel,,,,
2018-11-01,Arrocerezal,,,,
2018-11-01,Brozas,,,,
2018-11-01,Burguillos del Cerro,,,,
2018-11-01,Cantalgallo,,,,
2018-11-01,Carrascalejo,,,,
2018-11-01,El Santo,,,,
2018-11-01,Garciaz,,,,
2018-11-01,Garganta del Obispo,,,,
2018-11-01,Guadalupe,,,,
2018-11-01,Hervas,,,,
2018-11-01,Jaime Ozores,31.54043197631836,684.4761962890625,1173.06201171875,39.0
2018-11-01,Llerena,,,,
2018-11-01,Los Angeles,,,,
2018-11-01,Los Huertos,,,,
2018-11-01,Madronnera,,,,
2018-11-01,Majadillas,,,,
2018-11-01,Majarrobledo,,,,
2018-11-01,Membrio,,,,
2018-11-01,Navarredonda,,,,
2018-11-01,Navas del Madronno,,,,
2018-11-01,Nogales,,,,
2018-11-01,Palomero,,,,
2018-11-01,Pretura del Molino,,,,
2018-11-01,Ribera del Castanno,,,,
2018-11-01,Rubiales,,,,
2018-11-01,San Marcos,,,,
2018-11-01,Santa Lucia,,,,
2018-11-01,Talavan,49.253761291503906,128.34323120117188,971.7526245117188,32.0
2018-11-01,Tres Torres,,,,
2018-11-01,la Pesga,,,,
2019-06-01,Acebo,,,,
2019-06-01,Aguijon,,,,
2019-06-01,Alcuescar,,,,
2019-06-01,Aldea del Cano,,,,
2019-06-01,Aliseda,,,,
2019-06-01,Alpotrel,,,,
2019-06-01,Arrocerezal,,,,
2019-06-01,Brozas,,,,
2019-06-01,Burguillos del Cerro,,,,
2019-06-01,Cantalgallo,,,,
2019-06-01,Carrascalejo,,,,
2019-06-01,El Santo,,,,
2019-06-01,Garciaz,,,,
2019-06-01,Garganta del Obispo,,,,
2019-06-01,Guadalupe,,,,
2019-06-01,Hervas,,,,
2019-06-01,Jaime Ozores,11.944133758544922,105.32256317138672,105.32256317138672,14.56
2019-06-01,Llerena,,,,
2019-06-01,Los Angeles,,,,
2019-06-01,Los Huertos,,,,
2019-06-01,Madronnera,,,,
2019-06-01,Majadillas,,,,
2019-06-01,Majarrobledo,,,,
2019-06-01,Membrio,,,,
2019-06-01,Navarredonda,,,,
2019-06-01,Navas del Madronno,,,,
2019-06-01,Nogales,,,,
2019-06-01,Palomero,,,,
2019-06-01,Pretura del Molino,,,,
2019-06-01,Ribera del Castanno,,,,
2019-06-01,Rubiales,,,,
2019-06-01,San Marcos,,,,
2019-06-01,Santa Lucia,,,,
2019-06-01,Talavan,3.62959361076355,17.237808227539062,90.00403594970703,3.0
2019-06-01,Tres Torres,,,,
2019-06-01,la Pesga,,,,
2019-11-01,Acebo,,,,
2019-11-01,Aguijon,,,,
2019-11-01,Alcuescar,,,,
2019-11-01,Aldea del Cano,,,,
2019-11-01,Aliseda,,,,
2019-11-01,Alpotrel,,,,
2019-11-01,Arrocerezal,,,,
2019-11-01,Brozas,,,,
2019-11-01,Burguillos del Cerro,,,,
2019-11-01,Cantalgallo,,,,
2019-11-01,Carrascalejo,,,,
2019-11-01,El Santo,,,,
2019-11-01,Garciaz,,,,
2019-11-01,Garganta del Obispo,,,,
2019-11-01,Guadalupe,,,,
2019-11-01,Hervas,,,,
2019-11-01,Jaime Ozores,0.0,0.0,0.0,200.0
2019-11-01,Llerena,,,,
2019-11-01,Los Angeles,,,,
2019-11-01,Los Huertos,,,,
2019-11-01,Madronnera,,,,
2019-11-01,Majadillas,,,,
2019-11-01,Majarrobledo,,,,
2019-11-01,Membrio,,,,
2019-11-01,Navarredonda,,,,
2019-11-01,Navas del Madronno,,,,
2019-11-01,Nogales,,,,
2019-11-01,Palomero,,,,
2019-11-01,Pretura del Molino,,,,
2019-11-01,Ribera del Castanno,,,,
2019-11-01,Rubiales,,,,
2019-11-01,San Marcos,,,,
2019-11-01,Santa Lucia,,,,
2019-11-01,Talavan,8.905449867248535,153.6947021484375,158.06480407714844,10.0
2019-11-01,Tres Torres,,,,
2019-11-01,la Pesga,,,,
2020-06-01,Acebo,,,,
2020-06-01,Aguijon,,,,
2020-06-01,Alcuescar,,,,
2020-06-01,Aldea del Cano,,,,
2020-06-01,Aliseda,,,,
2020-06-01,Alpotrel,,,,
2020-06-01,Arrocerezal,,,,
2020-06-01,Brozas,,,,
2020-06-01,Burguillos del Cerro,,,,
2020-06-01,Cantalgallo,,,,
2020-06-01,Carrascalejo,,,,
2020-06-01,El Santo,,,,
2020-06-01,Garciaz,,,,
2020-06-01,Garganta del Obispo,,,,
2020-06-01,Guadalupe,,,,
2020-06-01,Hervas,,,,
2020-06-01,Jaime Ozores,,,,
2020-06-01,Llerena,,,,
2020-06-01,Los Angeles,,,,
2020-06-01,Los Huertos,,,,
2020-06-01,Madronnera,,,,
2020-06-01,Majadillas,,,,
2020-06-01,Majarrobledo,,,,
2020-06-01,Membrio,,,,
2020-06-01,Navarredonda,,,,
2020-06-01,Navas del Madronno,,,,
2020-06-01,Nogales,,,,
2020-06-01,Palomero,,,,
2020-06-01,Pretura del Molino,,,,
2020-06-01,Ribera del Castanno,,,,
2020-06-01,Rubiales,,,,
2020-06-01,San Marcos,,,,
2020-06-01,Santa Lucia,,,,
2020-06-01,Talavan,,,,
2020-06-01,Tres Torres,,,,
2020-06-01,la Pesga,,,,
2020-11-01,Acebo,,,,2.5
2020-11-01,Aguijon,0.0,0.0,0.0,5.27
2020-11-01,Alcuescar,,,,16.3
2020-11-01,Aldea del Cano,,,,131.6
2020-11-01,Aliseda,,,,12.65
2020-11-01,Alpotrel,38.133949279785156,137.30145263671875,812.028076171875,25.0
2020-11-01,Arrocerezal,,,,0.73
2020-11-01,Brozas,64.2960205078125,100.07618713378906,347.2174072265625,36.57
2020-11-01,Burguillos del Cerro,18.964670181274414,274.42254638671875,454.03155517578125,14.88
2020-11-01,Cantalgallo,12.584478378295898,24.82758903503418,165.56304931640625,8.2
2020-11-01,Carrascalejo,,,,7.3
2020-11-01,El Santo,13.987415313720703,55.33125305175781,82.93506622314453,9.77
2020-11-01,Garciaz,,,,5.53
2020-11-01,Garganta del Obispo,,,,0.97
2020-11-01,Guadalupe,,,,7.29
2020-11-01,Hervas,,,,8.42
2020-11-01,Jaime Ozores,37.340457916259766,139.3359375,598.8492431640625,35.68
2020-11-01,Llerena,31.64495086669922,70.4140396118164,218.06625366210938,44.85
2020-11-01,Los Angeles,,,,3.99
2020-11-01,Los Huertos,23.307584762573242,132.7027130126953,977.1577758789062,32.54
2020-11-01,Madronnera,,,,19.76
2020-11-01,Majadillas,3.154921293258667,40.75123977661133,162.1841278076172,5.16
2020-11-01,Majarrobledo,,,,0.4
2020-11-01,Membrio,,,,19.53
2020-11-01,Navarredonda,,,,101.63
2020-11-01,Navas del Madronno,50.32402801513672,80.61577606201172,80.61577606201172,31.19
2020-11-01,Nogales,0.0,0.0,0.0,37.27
2020-11-01,Palomero,3.593360185623169,8.14278793334961,52.80973434448242,2.35
2020-11-01,Pretura del Molino,5.770199298858643,5.526432514190674,65.49529266357422,5.58
2020-11-01,Ribera del Castanno,,,,10.51
2020-11-01,Rubiales,,,,74.74
2020-11-01,San Marcos,,,,6.3
2020-11-01,Santa Lucia,7.882704257965088,9.525740623474121,93.20597076416016,4.22
2020-11-01,Talavan,,,,11.67
2020-11-01,Tres Torres,,,,49.46
2020-11-01,la Pesga,,,,6.24
2021-06-01,Acebo,,,,
2021-06-01,Aguijon,,,,47.07
2021-06-01,Alcuescar,17.167545318603516,251.8143768310547,527.2390747070312,26.89
2021-06-01,Aldea del Cano,59.1693000793457,1262.166259765625,1765.0079345703125,82.09
2021-06-01,Aliseda,,,,
2021-06-01,Alpotrel,,,,
2021-06-01,Arrocerezal,,,,
2021-06-01,Brozas,71.92767333984375,181.56768798828125,683.9595336914062,50.1
2021-06-01,Burguillos del Cerro,103.77996063232422,280.8717956542969,1401.52783203125,88.95
2021-06-01,Cantalgallo,,,,
2021-06-01,Carrascalejo,,,,
2021-06-01,El Santo,,,,
2021-06-01,Garciaz,,,,
2021-06-01,Garganta del Obispo,,,,
2021-06-01,Guadalupe,,,,
2021-06-01,Hervas,,,,
2021-06-01,Jaime Ozores,30.98394203186035,533.8434448242188,1263.6566162109375,43.74
2021-06-01,Llerena,,,,
2021-06-01,Los Angeles,,,,
2021-06-01,Los Huertos,32.49111557006836,140.99307250976562,820.8177490234375,
2021-06-01,Madronnera,1.8816266059875488,8.334402084350586,40.88414764404297,3.57
2021-06-01,Majadillas,,,,
2021-06-01,Majarrobledo,,,,
2021-06-01,Membrio,,,,
2021-06-01,Navarredonda,21.523130416870117,499.0930480957031,5064.7412109375,74.28
2021-06-01,Navas del Madronno,14.393662452697754,26.400150299072266,36.07405090332031,10.48
2021-06-01,Nogales,,,,94.0
2021-06-01,Palomero,,,,
2021-06-01,Pretura del Molino,,,,
2021-06-01,Ribera del Castanno,,,,
2021-06-01,Rubiales,,,,
2021-06-01,San Marcos,,,,18.88
2021-06-01,Santa Lucia,,,,
2021-06-01,Talavan,18.583606719970703,87.3216323852539,795.3864135742188,42.95
2021-06-01,Tres Torres,,,,76.19
2021-06-01,la Pesga,,,,
2021-11-01,Acebo,,,,7.5
2021-11-01,Aguijon,23.448989868164062,663.3409423828125,1469.240234375,44.26
2021-11-01,Alcuescar,11.778441429138184,657.3282470703125,643.9127807617188,20.94
2021-11-01,Aldea del Cano,7.866176128387451,22.31241226196289,170.65097045898438,63.78
2021-11-01,Aliseda,9.939455032348633,153.51893615722656,278.75927734375,8.64
2021-11-01,Alpotrel,4.939568996429443,52.14752197265625,292.8336181640625,10.4
2021-11-01,Arrocerezal,,,,6.69
2021-11-01,Brozas,143.67665100097656,739.5512084960938,1365.5709228515625,113.38
2021-11-01,Burguillos del Cerro,,,,1.9
2021-11-01,Cantalgallo,,,,4.39
2021-11-01,Carrascalejo,,,,10.99
2021-11-01,El Santo,15.862640380859375,81.79508972167969,170.69850158691406,13.43
2021-11-01,Garciaz,4.126830101013184,8.71276569366455,26.879486083984375,4.33
2021-11-01,Garganta del Obispo,,,,1.9
2021-11-01,Guadalupe,,,,7.6
2021-11-01,Hervas,13.580953598022461,347.9287414550781,390.3147277832031,12.93
2021-11-01,Jaime Ozores,,,,7.28
2021-11-01,Llerena,43.22816848754883,150.6839141845703,191.1067352294922,38.37
2021-11-01,Los Angeles,,,,41.63
2021-11-01,Los Huertos,,,,26.69
2021-11-01,Madronnera,7.807893753051758,15.824517250061035,46.29281997680664,13.12
2021-11-01,Majadillas,0.23107798397541046,14.47963809967041,86.43853759765625,2.78
2021-11-01,Majarrobledo,2.6918680667877197,26.708141326904297,54.242408752441406,2.27
2021-11-01,Membrio,36.148372650146484,185.23446655273438,578.518798828125,44.41
2021-11-01,Navarredonda,99.31668090820312,941.5338134765625,5224.71240234375,164.61
2021-11-01,Navas del Madronno,,,,33.63
2021-11-01,Nogales,36.264190673828125,235.4127197265625,744.1143188476562,26.83
2021-11-01,Palomero,19.84906578063965,97.5442123413086,351.21142578125,18.75
2021-11-01,Pretura del Molino,3.4737966060638428,63.841888427734375,169.98190307617188,7.14
2021-11-01,Ribera del Castanno,4.856235504150391,32.97431945800781,659.107421875,20.89
2021-11-01,Rubiales,24.603866577148438,2069.98486328125,2269.882080078125,70.85
2021-11-01,San Marcos,,,,27.73
2021-11-01,Santa Lucia,6.9437150955200195,39.4882698059082,211.51470947265625,10.39
2021-11-01,Talavan,41.69429397583008,92.97045135498047,192.93873596191406,35.06
2021-11-01,Tres Torres,,,,111.98
2021-11-01,la Pesga,,,,33.45
2022-06-01,Acebo,,,,
2022-06-01,Aguijon,6.136398792266846,130.47091674804688,654.3399047851562,20.76
2022-06-01,Alcuescar,,,,206.8
2022-06-01,Aldea del Cano,138.89675903320312,992.4396362304688,1722.9935302734375,91.02
2022-06-01,Aliseda,,,,
2022-06-01,Alpotrel,,,,
2022-06-01,Arrocerezal,,,,
2022-06-01,Brozas,64.12449645996094,187.29441833496094,1013.105224609375,44.79
2022-06-01,Burguillos del Cerro,65.84400177001953,286.9482727050781,977.2525634765625,61.64
2022-06-01,Cantalgallo,,,,
2022-06-01,Carrascalejo,,,,
2022-06-01,El Santo,,,,
2022-06-01,Garciaz,,,,
2022-06-01,Garganta del Obispo,,,,
2022-06-01,Guadalupe,,,,
2022-06-01,Hervas,,,,
2022-06-01,Jaime Ozores,72.49468231201172,600.2240600585938,1164.89208984375,199.83
2022-06-01,Llerena,51.27415084838867,200.79388427734375,212.714111328125,30.43
2022-06-01,Los Angeles,,,,
2022-06-01,Los Huertos,,,,63.4
2022-06-01,Madronnera,,,,6.67
2022-06-01,Majadillas,,,,
2022-06-01,Majarrobledo,,,,
2022-06-01,Membrio,,,,
2022-06-01,Navarredonda,,,,10.53
2022-06-01,Navas del Madronno,26.335416793823242,157.21690368652344,756.1536865234375,29.38
2022-06-01,Nogales,77.0838623046875,2601.061767578125,2601.061767578125,96.46
2022-06-01,Palomero,,,,
2022-06-01,Pretura del Molino,,,,
2022-06-01,Ribera del Castanno,,,,
2022-06-01,Rubiales,23.02342414855957,925.4314575195312,1508.5477294921875,47.49
2022-06-01,San Marcos,,,,35.68
2022-06-01,Santa Lucia,,,,
2022-06-01,Talavan,63.23157501220703,519.4493408203125,2108.463134765625,72.17
2022-06-01,Tres Torres,,,,331.88
2022-06-01,la Pesga,,,,
2022-11-01,Acebo,9.338417053222656,34.60954284667969,283.3525695800781,11.5
2022-11-01,Aguijon,185.20152282714844,1653.4044189453125,5269.5869140625,166.96
2022-11-01,Alcuescar,,,,12.35
2022-11-01,Aldea del Cano,28.03787612915039,437.6027526855469,1343.4189453125,46.81
2022-11-01,Aliseda,21.380159378051758,205.37567138671875,400.6799011230469,14.32
2022-11-01,Alpotrel,23.607215881347656,53.155731201171875,591.9833984375,18.13
2022-11-01,Arrocerezal,19.83660125732422,66.06781768798828,318.05072021484375,18.95
2022-11-01,Brozas,,,,40.0
2022-11-01,Burguillos del Cerro,42.06892013549805,6957.7568359375,6272.890625,201.095
2022-11-01,Cantalgallo,,,,12.2
2022-11-01,Carrascalejo,,,,13.24
2022-11-01,El Santo,84.49751281738281,186.14251708984375,1221.3656005859375,62.78
2022-11-01,Garciaz,,,,16.42
2022-11-01,Garganta del Obispo,0.7855445146560669,36.536563873291016,60.37757873535156,85.33
2022-11-01,Guadalupe,,,,17.09
2022-11-01,Hervas,,,,19.42
2022-11-01,Jaime Ozores,278.71820068359375,2782.395751953125,1540.8839111328125,211.82
2022-11-01,Llerena,154.33985900878906,4771.7978515625,4538.431640625,147.12
2022-11-01,Los Angeles,,,,45.73
2022-11-01,Los Huertos,,,,70.55
2022-11-01,Madronnera,,,,38.93
2022-11-01,Majadillas,20.142675399780273,66.17472839355469,790.1656494140625,25.99
2022-11-01,Majarrobledo,,,,20.48
2022-11-01,Membrio,,,,60.76
2022-11-01,Navarredonda,,,,3.39
2022-11-01,Navas del Madronno,,,,30.53
2022-11-01,Nogales,51.110565185546875,785.6090087890625,1530.708984375,45.815
2022-11-01,Palomero,,,,44.83
2022-11-01,Pretura del Molino,11.098599433898926,52.91696548461914,251.9546356201172,8.41
2022-11-01,Ribera del Castanno,,,,26.99
2022-11-01,Rubiales,90.49251556396484,3213.575927734375,6829.0009765625,204.58
2022-11-01,San Marcos,,,,27.47
2022-11-01,Santa Lucia,,,,11.94
2022-11-01,Talavan,65.12992095947266,540.444580078125,381.9940490722656,45.02
2022-11-01,Tres Torres,,,,278.23
2022-11-01,la Pesga,,,,20.13
